iter	RMSE
0	0.2724328746
1	0.2632957392
2	0.2547450218
3	0.2473360646
4	0.2397723523
5	0.2325070183
6	0.2258123836
7	0.2193141595
8	0.2133072303
9	0.2075177716
10	0.2021970583
11	0.1976966935
12	0.1922528199
13	0.1875118693
14	0.1821332033
15	0.1769909541
16	0.1722915566
17	0.1679614256
18	0.1641313019
19	0.1604029068
20	0.1561488307
21	0.1525550494
22	0.1491066259
23	0.1458701286
24	0.1421644765
25	0.1385473459
26	0.1354381837
27	0.1326527199
28	0.1299422891
29	0.1274127
30	0.1247866362
31	0.1225474993
32	0.120109529
33	0.1178540021
34	0.1157541043
35	0.1138953002
36	0.1118013323
37	0.1097353379
38	0.1074739775
39	0.1059528813
40	0.1035408987
41	0.101413282
42	0.09952080598
43	0.0977001784
44	0.09581262941
45	0.09403272775
46	0.09203970304
47	0.09074266878
48	0.08903029869
49	0.08719918818
50	0.08574533182
51	0.08415117033
52	0.08238376497
53	0.08082991391
54	0.07955024071
55	0.07830967747
56	0.07706993501
57	0.07582381923
58	0.07453240825
59	0.07308897769
60	0.07184771072
61	0.07036373826
62	0.06925087697
