iter	Passed	Remaining
0	191	191616
1	283	141542
2	371	123526
3	468	116739
4	565	112437
5	661	109660
6	761	107989
7	862	106972
8	967	106493
9	1055	104470
10	1141	102629
11	1226	100965
12	1315	99907
13	1393	98108
14	1472	96684
15	1555	95641
16	1633	94453
17	1713	93499
18	1802	93040
19	1880	92144
20	1967	91716
21	2075	92278
22	2153	91459
23	2240	91098
24	2316	90324
25	2393	89645
26	2467	88924
27	2542	88277
28	2615	87576
29	2693	87075
30	2766	86470
31	2844	86047
32	2922	85626
33	2995	85101
34	3070	84649
35	3146	84250
36	3221	83858
37	3309	83776
38	3421	84303
39	3530	84725
40	3628	84871
41	3744	85415
42	3842	85511
43	3947	85768
44	4054	86034
45	4167	86431
46	4280	86784
47	4381	86908
48	4457	86508
49	4534	86158
50	4609	85774
51	4681	85354
52	4754	84956
53	4829	84605
54	4906	84306
55	4979	83947
56	5053	83599
57	5123	83216
58	5201	82965
59	5274	82633
60	5349	82345
61	5423	82054
62	5498	81777
